index,step_estimated,layer_estimated,alpha_s,alpha_f
140,2,12,0.976718544960022,1.8691315650939941
141,2,13,1.328447937965393,1.4809093475341797
142,2,14,1.2596012353897095,1.762878656387329
143,2,15,1.1190851926803589,1.8111591339111328
144,2,16,1.2415586709976196,1.6999952793121338
145,2,17,1.1446324586868286,1.6302006244659424
146,2,18,1.3708750009536743,1.5228575468063354
147,2,19,1.295598030090332,1.6479631662368774
148,2,20,1.1187012195587158,1.330945372581482
149,2,21,1.2090469598770142,1.563835859298706
150,2,22,1.1502161026000977,1.3876169919967651
151,2,23,1.0210657119750977,1.299894094467163
152,2,24,1.0297398567199707,1.1893842220306396
153,2,25,1.142295479774475,1.3174775838851929
154,2,26,0.8799481987953186,1.009197473526001
155,2,27,1.3383591175079346,1.6059852838516235
156,2,28,1.1101781129837036,1.1843550205230713
157,2,29,1.171602487564087,1.475464105606079
158,2,30,1.1550712585449219,1.6823170185089111
159,2,31,1.136035680770874,1.2417943477630615
160,2,32,1.063655138015747,1.402233600616455
161,2,33,1.1375583410263062,1.55160391330719
162,2,34,0.9425097107887268,1.2143148183822632
163,2,35,1.305572748184204,1.3050156831741333
164,2,36,1.3028323650360107,1.8571608066558838
165,2,37,1.5657165050506592,1.6085178852081299
166,2,38,1.3266944885253906,1.82972252368927
167,2,39,1.3749945163726807,1.8478082418441772
168,2,40,1.3649632930755615,1.196137547492981
169,2,41,1.4936898946762085,1.8700486421585083
170,2,42,1.268835425376892,0.9302469491958618
171,2,43,1.376991629600525,1.7228775024414062
172,2,44,1.5067200660705566,1.4402421712875366
173,2,45,1.6410099267959595,1.7283313274383545
174,2,46,1.382185697555542,0.9764145612716675
175,2,47,1.3607302904129028,1.3802343606948853
176,2,48,1.4550268650054932,1.8097436428070068
177,2,49,1.422154426574707,1.7699271440505981
178,2,50,1.5177079439163208,1.6362545490264893
179,2,51,1.3726143836975098,1.9066885709762573
180,2,52,1.4459282159805298,1.6871930360794067
181,2,53,1.636550784111023,1.5906579494476318
182,2,54,1.8786121606826782,1.8290883302688599
